task;learner;optimizer;constants;expression;surrogate_score
14969;glmnet;optimistic_random_search_16;False;100 replications;0.9923017022997149
14969;glmnet;optimistic_random_search_32;False;100 replications;0.9986626452453428
9964;glmnet;optimistic_random_search_2;False;100 replications;0.5654484532048064
9964;glmnet;optimistic_random_search_4;False;100 replications;0.7667774300581093
9964;glmnet;optimistic_random_search_8;False;100 replications;0.9579287191943291
9964;glmnet;optimistic_random_search_16;False;100 replications;0.9889222491279771
9964;glmnet;optimistic_random_search_32;False;100 replications;0.9936109784047864
11;rpart;optimistic_random_search_2;False;100 replications;0.9233966372606602
11;rpart;optimistic_random_search_4;False;100 replications;0.9324006545970773
11;rpart;optimistic_random_search_8;False;100 replications;0.9563741931404999
11;rpart;optimistic_random_search_16;False;100 replications;0.9711389148422537
11;rpart;optimistic_random_search_32;False;100 replications;0.9883295174956243
31;glmnet;optimistic_random_search_2;False;100 replications;0.6000033377259326
31;glmnet;optimistic_random_search_4;False;100 replications;0.7869511183600022
31;glmnet;optimistic_random_search_8;False;100 replications;0.9271177462047048
31;glmnet;optimistic_random_search_16;False;100 replications;0.9699603718738227
31;glmnet;optimistic_random_search_32;False;100 replications;0.986248312398018
32;svm;optimistic_random_search_2;False;100 replications;0.8800774455952874
32;svm;optimistic_random_search_4;False;100 replications;0.9701702767822802
32;svm;optimistic_random_search_8;False;100 replications;0.9940011002339183
32;svm;optimistic_random_search_16;False;100 replications;0.9966546989342038
32;svm;optimistic_random_search_32;False;100 replications;0.9982056161253179
10101;glmnet;optimistic_random_search_2;False;100 replications;0.6795848084970748
10101;glmnet;optimistic_random_search_4;False;100 replications;0.8345635707863746
10101;glmnet;optimistic_random_search_8;False;100 replications;0.9800029541197016
10101;glmnet;optimistic_random_search_16;False;100 replications;0.9951355212875308
10101;glmnet;optimistic_random_search_32;False;100 replications;0.998460947863717
146817;glmnet;optimistic_random_search_2;False;100 replications;0.5617281860863163
146817;glmnet;optimistic_random_search_4;False;100 replications;0.7843298644874956
146817;glmnet;optimistic_random_search_8;False;100 replications;0.9242226374041873
146817;glmnet;optimistic_random_search_16;False;100 replications;0.9870275084379556
146817;glmnet;optimistic_random_search_32;False;100 replications;0.995957540167187
3022;glmnet;optimistic_random_search_2;False;100 replications;0.3950865349990852
3022;glmnet;optimistic_random_search_4;False;100 replications;0.5080719173813273
3022;glmnet;optimistic_random_search_8;False;100 replications;0.785164279297423
3022;glmnet;optimistic_random_search_16;False;100 replications;0.8758723921014301
3022;glmnet;optimistic_random_search_32;False;100 replications;0.9354574182252087
145681;glmnet;optimistic_random_search_2;False;100 replications;0.4902473593201682
145681;glmnet;optimistic_random_search_4;False;100 replications;0.7904202351955523
145681;glmnet;optimistic_random_search_8;False;100 replications;0.902483470767661
145681;glmnet;optimistic_random_search_16;False;100 replications;0.9870591157450606
145681;glmnet;optimistic_random_search_32;False;100 replications;0.9923319172842625
9957;rpart;optimistic_random_search_2;False;100 replications;0.9495077683101378
9957;rpart;optimistic_random_search_4;False;100 replications;0.9660640028391679
9957;rpart;optimistic_random_search_8;False;100 replications;0.9784393374785307
9957;rpart;optimistic_random_search_16;False;100 replications;0.9867282570449213
9957;rpart;optimistic_random_search_32;False;100 replications;0.9919397200975659
168911;knn;optimistic_random_search_2;False;100 replications;0.9920196047220747
168911;knn;optimistic_random_search_4;False;100 replications;0.9976731330806414
168911;knn;optimistic_random_search_8;False;100 replications;0.9992017358956289
168911;knn;optimistic_random_search_16;False;100 replications;0.9994975842905675
168911;knn;optimistic_random_search_32;False;100 replications;0.9996400548884682
23;svm;optimistic_random_search_2;False;100 replications;0.7817172703804198
23;svm;optimistic_random_search_4;False;100 replications;0.8667042819178781
23;svm;optimistic_random_search_8;False;100 replications;0.9038113167052372
23;svm;optimistic_random_search_16;False;100 replications;0.9493698069247413
23;svm;optimistic_random_search_32;False;100 replications;0.9718176124306268
190411;knn;optimistic_random_search_2;False;100 replications;0.9682841206483989
190411;knn;optimistic_random_search_4;False;100 replications;0.9906631057048014
190411;knn;optimistic_random_search_8;False;100 replications;0.9953331735386342
190411;knn;optimistic_random_search_16;False;100 replications;0.9965063137356391
190411;knn;optimistic_random_search_32;False;100 replications;0.9980655503199022
9977;xgboost;optimistic_random_search_2;False;100 replications;0.9899540806798852
9977;xgboost;optimistic_random_search_4;False;100 replications;0.9964554743333097
9977;xgboost;optimistic_random_search_8;False;100 replications;0.9975504894822806
9977;xgboost;optimistic_random_search_16;False;100 replications;0.9988274291598165
9977;xgboost;optimistic_random_search_32;False;100 replications;0.9992809082508175
189927;knn;optimistic_random_search_2;False;100 replications;0.9966739245768881
189927;knn;optimistic_random_search_4;False;100 replications;0.9985328819124115
189927;knn;optimistic_random_search_8;False;100 replications;0.9991444771043767
189927;knn;optimistic_random_search_16;False;100 replications;0.999423160421385
189927;knn;optimistic_random_search_32;False;100 replications;0.9995717176168363
7592;svm;optimistic_random_search_2;False;100 replications;0.8323572118385786
7592;svm;optimistic_random_search_4;False;100 replications;0.9302895815204972
7592;svm;optimistic_random_search_8;False;100 replications;0.9653254361322847
7592;svm;optimistic_random_search_16;False;100 replications;0.9839388309465081
7592;svm;optimistic_random_search_32;False;100 replications;0.990980373397057
12;rf;optimistic_random_search_2;False;100 replications;0.9213003845432319
12;rf;optimistic_random_search_4;False;100 replications;0.9484959240790393
12;rf;optimistic_random_search_8;False;100 replications;0.961777222437054
12;rf;optimistic_random_search_16;False;100 replications;0.97625596972632
12;rf;optimistic_random_search_32;False;100 replications;0.9821337209564264
146607;svm;optimistic_random_search_2;False;100 replications;0.9677716638159649
146607;svm;optimistic_random_search_4;False;100 replications;0.9848909211690237
146607;svm;optimistic_random_search_8;False;100 replications;0.9913115186914169
146607;svm;optimistic_random_search_16;False;100 replications;0.993284888001143
146607;svm;optimistic_random_search_32;False;100 replications;0.9941215069014908
2073;glmnet;optimistic_random_search_2;False;100 replications;0.8562069288303695
2073;glmnet;optimistic_random_search_4;False;100 replications;0.9357631279025215
2073;glmnet;optimistic_random_search_8;False;100 replications;0.9850012891848674
2073;glmnet;optimistic_random_search_16;False;100 replications;0.998544858027429
2073;glmnet;optimistic_random_search_32;False;100 replications;0.9996564472562283
168868;glmnet;optimistic_random_search_2;False;100 replications;0.4594357206917543
168868;glmnet;optimistic_random_search_4;False;100 replications;0.8411329811349039
