task;learner;optimizer;constants;expression;surrogate_score
9952;xgboost;sklearn_default;False;sklearn_default;0.9804
15;xgboost;sklearn_default;False;sklearn_default;0.9842
3902;knn;mlr_default;False;mlr_default;0.8624
14954;rf;mlr_default;False;mlr_default;0.9852
168911;xgboost;sklearn_default;False;sklearn_default;0.9934
146800;rpart;mlr_default;False;mlr_default;0.9184
168331;glmnet;mlr_default;False;mlr_default;0.8440
10093;rf;mlr_default;False;mlr_default;0.9962
9970;rpart;mlr_default;False;mlr_default;0.9104
10093;knn;mlr_default;False;mlr_default;0.9242
146195;rpart;mlr_default;False;mlr_default;0.1382
9976;svm;sklearn_default;False;sklearn_default;0.7336
9976;svm;mlr_default;False;mlr_default;0.7336
3493;xgboost;sklearn_default;False;sklearn_default;0.9678
146822;glmnet;mlr_default;False;mlr_default;0.8696
9970;xgboost;sklearn_default;False;sklearn_default;0.9953
9957;knn;mlr_default;False;mlr_default;0.9441
2074;glmnet;mlr_default;False;mlr_default;0.9248
3917;knn;mlr_default;False;mlr_default;0.9135
168912;glmnet;mlr_default;False;mlr_default;0.9779
125921;rpart;mlr_default;False;mlr_default;0.5211
23;rf;mlr_default;False;mlr_default;0.9651
9978;knn;mlr_default;False;mlr_default;0.8550
7592;xgboost;sklearn_default;False;sklearn_default;0.9270
10093;glmnet;mlr_default;False;mlr_default;0.9148
146818;glmnet;mlr_default;False;mlr_default;0.9868
146821;glmnet;mlr_default;False;mlr_default;0.7864
34539;glmnet;mlr_default;False;mlr_default;0.1960
10090;knn;mlr_default;False;mlr_default;0.6199
189927;glmnet;mlr_default;False;mlr_default;0.8889
28;svm;sklearn_default;False;sklearn_default;0.9966
28;svm;mlr_default;False;mlr_default;0.9966
24;svm;sklearn_default;False;sklearn_default;0.9997
24;svm;mlr_default;False;mlr_default;0.9994
3;glmnet;mlr_default;False;mlr_default;0.8936
145681;knn;mlr_default;False;mlr_default;0.8831
41;knn;mlr_default;False;mlr_default;0.9419
146820;rf;mlr_default;False;mlr_default;0.9692
3561;knn;mlr_default;False;mlr_default;0.9831
32;glmnet;mlr_default;False;mlr_default;0.8362
9960;knn;mlr_default;False;mlr_default;0.9276
