endresult;expression;gen;inout;length;problem;run;score;search;task
1.0;make_tuple(0.06226085972437181, 0.003767052727217613, 0.023081481802985918, xvar, p, p, xvar, 3, mcp);2.0;in;1.0;xgboost;8d386a44-878c-41d6-be2d-60cf6fe44a50;0.9523;random_search_3000;6.0
1.0;make_tuple(0.06226085972437181, 0.003767052727217613, 0.023081481802985918, xvar, p, p, xvar, 3, mcp);2.0;out;1.0;xgboost;8d386a44-878c-41d6-be2d-60cf6fe44a50;0.9655;random_search_3000;6.0
1.0;make_tuple(0.03882630370239861, xvar, 0.002651114850160124, mkd, p, po, mcp, 79, 686);2.0;in;1.0;xgboost;107ff318-e98a-4b03-bfff-fe912e9f1f39;0.9495;random_search_3000;3510.0
1.0;make_tuple(0.03882630370239861, xvar, 0.002651114850160124, mkd, p, po, mcp, 79, 686);2.0;out;1.0;xgboost;107ff318-e98a-4b03-bfff-fe912e9f1f39;0.9889;random_search_3000;3510.0
1.0;make_tuple(0.034896665031590404, rc, 0.20844982896601033, 0.20636142894370688, n, n, 0.16663946160282314, p, po);2.0;in;1.0;xgboost;2ad1b54b-8092-49fa-bd03-f423371a626a;0.9481;random_search_3000;9986.0
1.0;make_tuple(0.034896665031590404, rc, 0.20844982896601033, 0.20636142894370688, n, n, 0.16663946160282314, p, po);2.0;out;1.0;xgboost;2ad1b54b-8092-49fa-bd03-f423371a626a;0.9962;random_search_3000;9986.0
1.0;make_tuple(0.052275151114860786, xvar, mkd, 0.13222119490464182, po, p, xvar, po, 12);2.0;in;1.0;xgboost;d3c548d8-9083-46b5-a89c-af36eede27f6;0.9519;random_search_3000;10106.0
1.0;make_tuple(0.052275151114860786, xvar, mkd, 0.13222119490464182, po, p, xvar, po, 12);2.0;out;1.0;xgboost;d3c548d8-9083-46b5-a89c-af36eede27f6;0.9994;random_search_3000;10106.0
1.0;make_tuple(max(0.09133521749029082, mkd), truediv(mkd, mcp), min(n, 0.006728362456658643), if_gt(rc, po, m, mcp), expit(m), add(xvar, p), add(mcp, xvar), truediv(n, mkd), mul(xvar, 571));2.0;in;10.0;xgboost;2cac5ac1-2140-40a2-9240-c9895b20ced4;0.9531;random_search_3000;2073.0
1.0;make_tuple(max(0.09133521749029082, mkd), truediv(mkd, mcp), min(n, 0.006728362456658643), if_gt(rc, po, m, mcp), expit(m), add(xvar, p), add(mcp, xvar), truediv(n, mkd), mul(xvar, 571));2.0;out;10.0;xgboost;2cac5ac1-2140-40a2-9240-c9895b20ced4;0.9512;random_search_3000;2073.0
