endresult;expression;gen;inout;length;problem;run;score;search;task
1.0;make_tuple(add(add(0.0012558282904889062, m), if_gt(mcp, 696, n, mcp)), truediv(expit(n), max(0.01229658823861906, po)));2.0;out;7.0;svm;ab65b422-11a9-4898-86e9-faea63aee673;0.9653;random_search_300;3021.0
1.0;make_tuple(truediv(m, mcp), truediv(mkd, xvar));2.0;in;3.0;svm;d2268688-9af0-4914-987d-ab24f80261de;0.9093;random_search_300;125920.0
1.0;make_tuple(truediv(m, mcp), truediv(mkd, xvar));2.0;out;3.0;svm;d2268688-9af0-4914-987d-ab24f80261de;0.3931;random_search_300;125920.0
1.0;make_tuple(mul(m, m), truediv(1, p));2.0;in;3.0;svm;c5548398-626a-4796-a03d-0d0c781efd28;0.9039;random_search_300;146824.0
1.0;make_tuple(mul(m, m), truediv(1, p));2.0;out;3.0;svm;c5548398-626a-4796-a03d-0d0c781efd28;0.9979;random_search_300;146824.0
1.0;make_tuple(max(if_gt(43, po, m, mcp), sub(po, 23)), truediv(expit(po), if_gt(mcp, po, mkd, po)));2.0;in;7.0;svm;e058ce57-93b4-4f29-bdc0-9ed637eeb431;0.9079;random_search_300;14971.0
1.0;make_tuple(max(if_gt(43, po, m, mcp), sub(po, 23)), truediv(expit(po), if_gt(mcp, po, mkd, po)));2.0;out;7.0;svm;e058ce57-93b4-4f29-bdc0-9ed637eeb431;0.6945;random_search_300;14971.0
1.0;make_tuple(max(truediv(xvar, po), max(rc, 5)), truediv(expit(n), min(po, p)));2.0;in;7.0;svm;9d1a6d03-d4aa-48ea-836f-457f01cadc88;0.9039;random_search_300;37.0
1.0;make_tuple(max(truediv(xvar, po), max(rc, 5)), truediv(expit(n), min(po, p)));2.0;out;7.0;svm;9d1a6d03-d4aa-48ea-836f-457f01cadc88;0.8963;random_search_300;37.0
1.0;make_tuple(truediv(m, mcp), truediv(mkd, xvar));2.0;in;3.0;svm;918b3213-a4e5-4148-8964-53d3f8b067c3;0.9036;random_search_300;9956.0
1.0;make_tuple(truediv(m, mcp), truediv(mkd, xvar));2.0;out;3.0;svm;918b3213-a4e5-4148-8964-53d3f8b067c3;0.9953;random_search_300;9956.0
1.0;make_tuple(add(add(xvar, xvar), if_gt(mcp, p, p, m)), truediv(expit(p), add(po, mkd)));2.0;in;7.0;svm;b4ec90f7-18a9-4ce8-bd73-1725cf9e6c48;0.9056;random_search_300;189928.0
1.0;make_tuple(add(add(xvar, xvar), if_gt(mcp, p, p, m)), truediv(expit(p), add(po, mkd)));2.0;out;7.0;svm;b4ec90f7-18a9-4ce8-bd73-1725cf9e6c48;0.9714;random_search_300;189928.0
1.0;make_tuple(add(rc, m), truediv(mkd, xvar));2.0;in;3.0;svm;505f8974-c7b3-4a25-81a6-f2c3bd7b5d53;0.9015;random_search_300;24.0
1.0;make_tuple(add(rc, m), truediv(mkd, xvar));2.0;out;3.0;svm;505f8974-c7b3-4a25-81a6-f2c3bd7b5d53;0.9999;random_search_300;24.0
1.0;make_tuple(add(truediv(m, mcp), sub(mcp, rc)), truediv(expit(n), add(po, mcp)));2.0;in;7.0;svm;e13ab289-568f-4cf6-b2f7-47ea5c636aaf;0.9055;random_search_300;3903.0
1.0;make_tuple(add(truediv(m, mcp), sub(mcp, rc)), truediv(expit(n), add(po, mcp)));2.0;out;7.0;svm;e13ab289-568f-4cf6-b2f7-47ea5c636aaf;0.9501;random_search_300;3903.0
1.0;make_tuple(add(0.09860631497929424, m), truediv(1, po));2.0;in;3.0;svm;9270d078-5054-45cd-b331-912704c923b8;0.9026;random_search_300;168912.0
1.0;make_tuple(add(0.09860631497929424, m), truediv(1, po));2.0;out;3.0;svm;9270d078-5054-45cd-b331-912704c923b8;0.9893;random_search_300;168912.0
1.0;make_tuple(mul(2, m), truediv(0.7271468538816964, po));2.0;in;3.0;svm;82ac5548-175e-4766-af76-e07828fd6193;0.9043;random_search_300;2074.0
1.0;make_tuple(mul(2, m), truediv(0.7271468538816964, po));2.0;out;3.0;svm;82ac5548-175e-4766-af76-e07828fd6193;0.9739;random_search_300;2074.0
1.0;make_tuple(if_gt(if_gt(m, xvar, n, po), truediv(xvar, mcp), min(m, p), min(mkd, 17)), truediv(expit(po), sub(po, mcp)));2.0;in;9.0;svm;c54548bd-b755-471e-9f94-3c9be93975ce;0.9027;random_search_300;14952.0
1.0;make_tuple(if_gt(if_gt(m, xvar, n, po), truediv(xvar, mcp), min(m, p), min(mkd, 17)), truediv(expit(po), sub(po, mcp)));2.0;out;9.0;svm;c54548bd-b755-471e-9f94-3c9be93975ce;0.9598;random_search_300;14952.0
1.0;make_tuple(truediv(if_gt(xvar, 0.0012345229735045862, p, mcp), add(xvar, mcp)), truediv(max(xvar, mcp), max(po, mkd)));2.0;in;7.0;svm;0908e12c-ed66-4f7c-b105-f78f63abb1f1;0.9028;random_search_300;146607.0
1.0;make_tuple(truediv(if_gt(xvar, 0.0012345229735045862, p, mcp), add(xvar, mcp)), truediv(max(xvar, mcp), max(po, mkd)));2.0;out;7.0;svm;0908e12c-ed66-4f7c-b105-f78f63abb1f1;0.7359;random_search_300;146607.0
1.0;make_tuple(add(xvar, m), truediv(mkd, xvar));2.0;in;3.0;svm;87ceaad3-48e4-469f-9e47-0c3882d191e9;0.9028;random_search_300;10093.0
1.0;make_tuple(add(xvar, m), truediv(mkd, xvar));2.0;out;3.0;svm;87ceaad3-48e4-469f-9e47-0c3882d191e9;1.0;random_search_300;10093.0
1.0;make_tuple(add(m, xvar), truediv(mkd, xvar));2.0;in;3.0;svm;6476c84d-4cd2-4109-9e8b-bda670fcaec9;0.9028;random_search_300;125922.0
1.0;make_tuple(add(m, xvar), truediv(mkd, xvar));2.0;out;3.0;svm;6476c84d-4cd2-4109-9e8b-bda670fcaec9;0.9988;random_search_300;125922.0
1.0;make_tuple(truediv(m, mcp), truediv(0.7642491280094701, po));2.0;in;3.0;svm;c5e237a2-3c12-46e5-9d9a-b6b5d47632bf;0.9042;random_search_300;125921.0
1.0;make_tuple(truediv(m, mcp), truediv(0.7642491280094701, po));2.0;out;3.0;svm;c5e237a2-3c12-46e5-9d9a-b6b5d47632bf;0.9362;random_search_300;125921.0
1.0;make_tuple(truediv(m, mcp), truediv(mkd, xvar));2.0;in;3.0;svm;304f5b22-ef59-41a5-a0e1-c92eade481a5;0.9036;random_search_300;45.0
1.0;make_tuple(truediv(m, mcp), truediv(mkd, xvar));2.0;out;3.0;svm;304f5b22-ef59-41a5-a0e1-c92eade481a5;0.9955;random_search_300;45.0
1.0;make_tuple(add(add(m, m), if_gt(mcp, mkd, xvar, po)), truediv(expit(p), min(p, po)));2.0;in;7.0;svm;64daa14b-e986-47da-beed-2f549f5812ec;0.905;random_search_300;14969.0
1.0;make_tuple(add(add(m, m), if_gt(mcp, mkd, xvar, po)), truediv(expit(p), min(p, po)));2.0;out;7.0;svm;64daa14b-e986-47da-beed-2f549f5812ec;0.9402;random_search_300;14969.0
1.0;make_tuple(add(max(xvar, m), mul(xvar, rc)), truediv(expit(m), max(po, rc)));2.0;in;7.0;svm;08cac584-af16-407b-963a-032df31d8b52;0.9011;random_search_300;9977.0
1.0;make_tuple(add(max(xvar, m), mul(xvar, rc)), truediv(expit(m), max(po, rc)));2.0;out;7.0;svm;08cac584-af16-407b-963a-032df31d8b52;0.9942;random_search_300;9977.0
1.0;make_tuple(add(max(xvar, mcp), sub(m, mkd)), max(neg(n), truediv(mkd, xvar)));2.0;in;7.0;svm;63662ec7-85af-48e1-8f1c-1b0205be711a;0.903;random_search_300;32.0
1.0;make_tuple(add(max(xvar, mcp), sub(m, mkd)), max(neg(n), truediv(mkd, xvar)));2.0;out;7.0;svm;63662ec7-85af-48e1-8f1c-1b0205be711a;0.9986;random_search_300;32.0
1.0;make_tuple(if_gt(expit(p), neg(mkd), truediv(10, xvar), sub(0.6885632804630449, mcp)), truediv(expit(mkd), max(po, 0.01797099491301969)));2.0;in;9.0;svm;f9fd7801-7618-44a0-a4f5-3f75a07314a1;0.9032;random_search_300;3907.0
1.0;make_tuple(if_gt(expit(p), neg(mkd), truediv(10, xvar), sub(0.6885632804630449, mcp)), truediv(expit(mkd), max(po, 0.01797099491301969)));2.0;out;9.0;svm;f9fd7801-7618-44a0-a4f5-3f75a07314a1;0.9883;random_search_300;3907.0
1.0;make_tuple(sub(9, 0.6398645373854197), truediv(0.7251336682135997, po));2.0;in;3.0;svm;780b644b-e08f-4101-8714-5c8c0a322d92;0.9036;random_search_300;3945.0
1.0;make_tuple(sub(9, 0.6398645373854197), truediv(0.7251336682135997, po));2.0;out;3.0;svm;780b644b-e08f-4101-8714-5c8c0a322d92;0.874;random_search_300;3945.0
1.0;make_tuple(sub(min(xvar, xvar), neg(m)), truediv(min(0.7110341591981458, m), sub(po, rc)));2.0;in;7.0;svm;c397b2e7-b35f-4732-bbfe-20367b706077;0.9031;random_search_300;168329.0
1.0;make_tuple(sub(min(xvar, xvar), neg(m)), truediv(min(0.7110341591981458, m), sub(po, rc)));2.0;out;7.0;svm;c397b2e7-b35f-4732-bbfe-20367b706077;0.9864;random_search_300;168329.0
1.0;make_tuple(truediv(m, mcp), truediv(mkd, xvar));2.0;in;3.0;svm;bf29309d-e199-4b3e-a43d-5f40c7764e42;0.9036;random_search_300;146822.0
1.0;make_tuple(truediv(m, mcp), truediv(mkd, xvar));2.0;out;3.0;svm;bf29309d-e199-4b3e-a43d-5f40c7764e42;0.9936;random_search_300;146822.0
1.0;make_tuple(add(if_gt(mkd, mcp, po, m), expit(p)), add(truediv(0.4918070871088822, po), truediv(rc, p)));2.0;in;7.0;svm;54e90ac9-fe5d-4a19-aee9-71b077b8f279;0.9023;random_search_300;146818.0
1.0;make_tuple(add(if_gt(mkd, mcp, po, m), expit(p)), add(truediv(0.4918070871088822, po), truediv(rc, p)));2.0;out;7.0;svm;54e90ac9-fe5d-4a19-aee9-71b077b8f279;0.9692;random_search_300;146818.0
1.0;make_tuple(sub(add(m, po), sub(po, xvar)), truediv(expit(n), add(po, xvar)));2.0;in;7.0;svm;a7366e89-0279-455d-be28-9ee0b20862b8;0.9067;random_search_300;3913.0
1.0;make_tuple(sub(add(m, po), sub(po, xvar)), truediv(expit(n), add(po, xvar)));2.0;out;7.0;svm;a7366e89-0279-455d-be28-9ee0b20862b8;0.6832;random_search_300;3913.0
1.0;make_tuple(add(max(5, mkd), if_gt(m, rc, xvar, 2)), truediv(expit(6), if_gt(0.3174328578632279, p, n, po)));2.0;in;7.0;svm;a3edeb4a-9a11-4510-af40-d11be99315c6;0.9036;random_search_300;6.0
1.0;make_tuple(add(max(5, mkd), if_gt(m, rc, xvar, 2)), truediv(expit(6), if_gt(0.3174328578632279, p, n, po)));2.0;out;7.0;svm;a3edeb4a-9a11-4510-af40-d11be99315c6;0.9931;random_search_300;6.0
1.0;make_tuple(if_gt(110, n, 47, m), truediv(mkd, xvar));2.0;in;3.0;svm;e7e63c60-84cf-4820-a00b-4e38ea73e851;0.9026;random_search_300;9964.0
1.0;make_tuple(if_gt(110, n, 47, m), truediv(mkd, xvar));2.0;out;3.0;svm;e7e63c60-84cf-4820-a00b-4e38ea73e851;0.9935;random_search_300;9964.0
1.0;make_tuple(add(if_gt(n, xvar, m, n), mul(0.21309754863860744, po)), truediv(truediv(n, po), sub(n, 0.24361681827583306)));2.0;in;7.0;svm;3505107b-90dd-4cbc-a55b-54ab83dc1222;0.9028;random_search_300;16.0
1.0;make_tuple(add(if_gt(n, xvar, m, n), mul(0.21309754863860744, po)), truediv(truediv(n, po), sub(n, 0.24361681827583306)));2.0;out;7.0;svm;3505107b-90dd-4cbc-a55b-54ab83dc1222;0.9984;random_search_300;16.0
1.0;make_tuple(if_gt(n, po, m, po), truediv(mkd, xvar));2.0;in;3.0;svm;45081ab3-f462-4ec2-8019-c761bd0b60c2;0.9052;random_search_300;167141.0
1.0;make_tuple(if_gt(n, po, m, po), truediv(mkd, xvar));2.0;out;3.0;svm;45081ab3-f462-4ec2-8019-c761bd0b60c2;0.947;random_search_300;167141.0
1.0;make_tuple(max(truediv(6, mcp), if_gt(mcp, p, m, m)), truediv(expit(mkd), mul(p, xvar)));2.0;in;7.0;svm;7a365452-278d-4c13-bc08-e6681f4d6037;0.9055;random_search_300;3560.0
1.0;make_tuple(max(truediv(6, mcp), if_gt(mcp, p, m, m)), truediv(expit(mkd), mul(p, xvar)));2.0;out;7.0;svm;7a365452-278d-4c13-bc08-e6681f4d6037;0.6869;random_search_300;3560.0
1.0;make_tuple(add(add(xvar, p), if_gt(p, xvar, 0.15151474675294907, n)), truediv(expit(mcp), if_gt(mcp, 231, xvar, po)));2.0;in;7.0;svm;ff0a9f02-e531-4bfc-b708-298048cd1044;0.9025;random_search_300;9950.0
1.0;make_tuple(add(add(xvar, p), if_gt(p, xvar, 0.15151474675294907, n)), truediv(expit(mcp), if_gt(mcp, 231, xvar, po)));2.0;out;7.0;svm;ff0a9f02-e531-4bfc-b708-298048cd1044;0.8173;random_search_300;9950.0
1.0;make_tuple(sub(expit(88), sub(0.07516168661140549, m)), truediv(expit(p), max(po, po)));2.0;in;7.0;svm;15d292f1-0ebc-4c23-9001-c64d332abb97;0.9048;random_search_300;9960.0
1.0;make_tuple(sub(expit(88), sub(0.07516168661140549, m)), truediv(expit(p), max(po, po)));2.0;out;7.0;svm;15d292f1-0ebc-4c23-9001-c64d332abb97;0.9708;random_search_300;9960.0
1.0;make_tuple(mul(m, m), truediv(mcp, po));2.0;in;3.0;svm;848bc731-6e9d-4a95-8294-9eabcaf1da27;0.9108;random_search_300;9970.0
1.0;make_tuple(mul(m, m), truediv(mcp, po));2.0;out;3.0;svm;848bc731-6e9d-4a95-8294-9eabcaf1da27;0.1107;random_search_300;9970.0
1.0;make_tuple(sub(sub(n, n), neg(m)), truediv(add(rc, m), mul(m, po)));2.0;in;7.0;svm;f29d6707-c94f-431f-9322-cb9fdf1a526e;0.9037;random_search_300;167140.0
1.0;make_tuple(sub(sub(n, n), neg(m)), truediv(add(rc, m), mul(m, po)));2.0;out;7.0;svm;f29d6707-c94f-431f-9322-cb9fdf1a526e;0.9852;random_search_300;167140.0
1.0;make_tuple(add(xvar, m), truediv(1, po));2.0;in;3.0;svm;73e9e0f3-9a02-4546-82fb-7e95d52abb56;0.9041;random_search_300;189927.0
1.0;make_tuple(add(xvar, m), truediv(1, po));2.0;out;3.0;svm;73e9e0f3-9a02-4546-82fb-7e95d52abb56;0.9697;random_search_300;189927.0
1.0;make_tuple(truediv(m, mcp), truediv(mkd, xvar));2.0;in;3.0;svm;3d1bab99-6306-45ea-897e-2ed17db2ddd0;0.9041;random_search_300;167125.0
